"exercise_label","features"
"Lateral Raise","{""leftHipAngle"": 155.6191955601092, ""leftKneeAngle"": 174.87630598993508, ""rightHipAngle"": 164.53012188555235, ""leftElbowAngle"": 126.00600972648792, ""rightKneeAngle"": 170.7524076625925, ""rightElbowAngle"": 152.99361655388026, ""leftShoulderAngle"": 66.51772898874036, ""rightShoulderAngle"": 71.50973277194922}"
"Lateral Raise","{""leftHipAngle"": 155.4112029390084, ""leftKneeAngle"": 174.7687558818776, ""rightHipAngle"": 160.40349534713584, ""leftElbowAngle"": 23.739131938111075, ""rightKneeAngle"": 171.80632315320486, ""rightElbowAngle"": 18.929990571652706, ""leftShoulderAngle"": 33.4225572096069, ""rightShoulderAngle"": 45.39266369791616}"
"Lateral Raise","{""leftHipAngle"": 155.15845650493955, ""leftKneeAngle"": 178.95757138028316, ""rightHipAngle"": 159.03511276641098, ""leftElbowAngle"": 90.80351337806644, ""rightKneeAngle"": 170.85980533040333, ""rightElbowAngle"": 79.59318497939877, ""leftShoulderAngle"": 17.04460309507476, ""rightShoulderAngle"": 27.1549096046925}"
"Lateral Raise","{""leftHipAngle"": 156.26461041429712, ""leftKneeAngle"": 178.3653374182361, ""rightHipAngle"": 155.34630288934565, ""leftElbowAngle"": 85.55309780684458, ""rightKneeAngle"": 168.00407874344606, ""rightElbowAngle"": 82.87643935382184, ""leftShoulderAngle"": 16.81547727064911, ""rightShoulderAngle"": 24.008131355169677}"
"Lateral Raise","{""leftHipAngle"": 154.04859439144963, ""leftKneeAngle"": 178.92299494099078, ""rightHipAngle"": 161.35693425782355, ""leftElbowAngle"": 88.38560025416211, ""rightKneeAngle"": 170.22625378709424, ""rightElbowAngle"": 87.5316540174785, ""leftShoulderAngle"": 36.66805964062681, ""rightShoulderAngle"": 33.67308007839637}"
"Lateral Raise","{""leftHipAngle"": 153.2610591082173, ""leftKneeAngle"": 174.8756465237164, ""rightHipAngle"": 164.18955812893174, ""leftElbowAngle"": 162.46007781520896, ""rightKneeAngle"": 173.13670930717663, ""rightElbowAngle"": 172.33701294882334, ""leftShoulderAngle"": 69.65508967566015, ""rightShoulderAngle"": 68.73542509914341}"
"Lateral Raise","{""leftHipAngle"": 156.08613225817044, ""leftKneeAngle"": 179.56555670473074, ""rightHipAngle"": 164.84128602261814, ""leftElbowAngle"": 157.94389863699038, ""rightKneeAngle"": 172.7581215678421, ""rightElbowAngle"": 165.94161414303352, ""leftShoulderAngle"": 91.60855549487864, ""rightShoulderAngle"": 86.39494641980427}"
"Lateral Raise","{""leftHipAngle"": 154.7692914590613, ""leftKneeAngle"": 178.0552517409676, ""rightHipAngle"": 165.87145900177143, ""leftElbowAngle"": 141.71533268652698, ""rightKneeAngle"": 178.63129540427255, ""rightElbowAngle"": 162.8232199665236, ""leftShoulderAngle"": 95.54276597124064, ""rightShoulderAngle"": 94.56709580336148}"
"Lateral Raise","{""leftHipAngle"": 156.73233127920432, ""leftKneeAngle"": 177.0368807784207, ""rightHipAngle"": 163.88131356671056, ""leftElbowAngle"": 141.50078379555066, ""rightKneeAngle"": 175.83541718547465, ""rightElbowAngle"": 159.7388679673336, ""leftShoulderAngle"": 94.56024934849457, ""rightShoulderAngle"": 92.43402107994754}"
"Lateral Raise","{""leftHipAngle"": 154.35027643297894, ""leftKneeAngle"": 179.03431496317523, ""rightHipAngle"": 165.27552092672357, ""leftElbowAngle"": 158.91729861428152, ""rightKneeAngle"": 172.15924827516292, ""rightElbowAngle"": 159.5012222771564, ""leftShoulderAngle"": 84.54484880980075, ""rightShoulderAngle"": 79.66900008751021}"
"Lateral Raise","{""leftHipAngle"": 157.17729533567092, ""leftKneeAngle"": 178.38386160364203, ""rightHipAngle"": 166.42140594450646, ""leftElbowAngle"": 142.97208370096808, ""rightKneeAngle"": 175.01694283335385, ""rightElbowAngle"": 157.70809850662317, ""leftShoulderAngle"": 57.712366475998635, ""rightShoulderAngle"": 56.525999714189446}"
"Lateral Raise","{""leftHipAngle"": 154.19095817958063, ""leftKneeAngle"": 172.66090711046476, ""rightHipAngle"": 164.86659796275046, ""leftElbowAngle"": 158.5331002302114, ""rightKneeAngle"": 176.51928079813345, ""rightElbowAngle"": 169.03780192005178, ""leftShoulderAngle"": 29.839514548855927, ""rightShoulderAngle"": 34.56562106535943}"
"Lateral Raise","{""leftHipAngle"": 154.96802762512004, ""leftKneeAngle"": 178.33640505546657, ""rightHipAngle"": 158.43029497246985, ""leftElbowAngle"": 118.07450631087454, ""rightKneeAngle"": 171.07123622097927, ""rightElbowAngle"": 102.8879009518182, ""leftShoulderAngle"": 15.664323615805728, ""rightShoulderAngle"": 22.45356330770011}"
"Lateral Raise","{""leftHipAngle"": 156.56083727516292, ""leftKneeAngle"": 178.20313641004535, ""rightHipAngle"": 158.6941300599109, ""leftElbowAngle"": 116.74544302649304, ""rightKneeAngle"": 171.96699834192827, ""rightElbowAngle"": 92.4105220176695, ""leftShoulderAngle"": 10.536476648571943, ""rightShoulderAngle"": 18.839002525845785}"
"Lateral Raise","{""leftHipAngle"": 158.57829319098107, ""leftKneeAngle"": 175.85768337118188, ""rightHipAngle"": 157.82504222543542, ""leftElbowAngle"": 110.9240312911381, ""rightKneeAngle"": 170.52099422509306, ""rightElbowAngle"": 105.3308881692304, ""leftShoulderAngle"": 17.301429891245828, ""rightShoulderAngle"": 24.316445836179316}"
"Lateral Raise","{""leftHipAngle"": 154.5167834620966, ""leftKneeAngle"": 173.63833123069557, ""rightHipAngle"": 164.00433788806507, ""leftElbowAngle"": 163.72973373829356, ""rightKneeAngle"": 172.4619655479063, ""rightElbowAngle"": 172.89289327109208, ""leftShoulderAngle"": 58.26139270780663, ""rightShoulderAngle"": 54.69067407853205}"
"Lateral Raise","{""leftHipAngle"": 156.56800603064949, ""leftKneeAngle"": 179.5193654224534, ""rightHipAngle"": 164.62389008247723, ""leftElbowAngle"": 165.5216494262892, ""rightKneeAngle"": 172.68546799461066, ""rightElbowAngle"": 178.39972490934176, ""leftShoulderAngle"": 86.03924155044551, ""rightShoulderAngle"": 86.55936454375646}"
"Lateral Raise","{""leftHipAngle"": 157.10442111265886, ""leftKneeAngle"": 179.81544347644436, ""rightHipAngle"": 165.56136020919828, ""leftElbowAngle"": 147.8712741901167, ""rightKneeAngle"": 178.16763250477638, ""rightElbowAngle"": 157.81694456814515, ""leftShoulderAngle"": 96.18981523935946, ""rightShoulderAngle"": 96.68646446986752}"
"Lateral Raise","{""leftHipAngle"": 157.27648356996065, ""leftKneeAngle"": 178.83657842775872, ""rightHipAngle"": 164.98964106444026, ""leftElbowAngle"": 148.4342296322962, ""rightKneeAngle"": 178.89763627374677, ""rightElbowAngle"": 158.49984908896673, ""leftShoulderAngle"": 94.11354148124153, ""rightShoulderAngle"": 95.36110076012751}"
"Lateral Raise","{""leftHipAngle"": 159.0263920414931, ""leftKneeAngle"": 178.68308548516038, ""rightHipAngle"": 164.27686484793347, ""leftElbowAngle"": 161.62068988343776, ""rightKneeAngle"": 174.28485886392045, ""rightElbowAngle"": 170.36355343950888, ""leftShoulderAngle"": 74.03824127563705, ""rightShoulderAngle"": 76.70479841460256}"
"Lateral Raise","{""leftHipAngle"": 156.65126679068354, ""leftKneeAngle"": 174.34429998175295, ""rightHipAngle"": 163.58002788041733, ""leftElbowAngle"": 178.68768212064305, ""rightKneeAngle"": 175.30262986778692, ""rightElbowAngle"": 174.87760753861156, ""leftShoulderAngle"": 36.88338137494899, ""rightShoulderAngle"": 46.34182287957822}"
"Lateral Raise","{""leftHipAngle"": 157.54137920482427, ""leftKneeAngle"": 179.23370053484152, ""rightHipAngle"": 154.88528747649062, ""leftElbowAngle"": 130.11609289944892, ""rightKneeAngle"": 169.92539806126135, ""rightElbowAngle"": 129.65483997214068, ""leftShoulderAngle"": 21.732044962940655, ""rightShoulderAngle"": 26.95304416743785}"
"Lateral Raise","{""leftHipAngle"": 153.53108575944404, ""leftKneeAngle"": 175.8614607381904, ""rightHipAngle"": 154.45248055325976, ""leftElbowAngle"": 116.70321932007484, ""rightKneeAngle"": 166.3670980398048, ""rightElbowAngle"": 115.78549056720658, ""leftShoulderAngle"": 14.781782716966203, ""rightShoulderAngle"": 18.46146603922772}"
"Lateral Raise","{""leftHipAngle"": 155.9974693619492, ""leftKneeAngle"": 177.0419647581605, ""rightHipAngle"": 154.54196285394457, ""leftElbowAngle"": 101.78087738449494, ""rightKneeAngle"": 167.90430215787333, ""rightElbowAngle"": 111.61002471926456, ""leftShoulderAngle"": 27.163211887882184, ""rightShoulderAngle"": 27.241335458749425}"
"Lateral Raise","{""leftHipAngle"": 153.16564466563236, ""leftKneeAngle"": 175.29117332743238, ""rightHipAngle"": 163.3781532684571, ""leftElbowAngle"": 142.82559628319248, ""rightKneeAngle"": 176.6729660727128, ""rightElbowAngle"": 154.73959774545747, ""leftShoulderAngle"": 68.50480249329158, ""rightShoulderAngle"": 65.17457356539573}"
"Lateral Raise","{""leftHipAngle"": 157.06804589234312, ""leftKneeAngle"": 178.0498735935228, ""rightHipAngle"": 166.47628173295277, ""leftElbowAngle"": 165.39893913051034, ""rightKneeAngle"": 177.13305182090224, ""rightElbowAngle"": 171.30069280979404, ""leftShoulderAngle"": 87.92701051271104, ""rightShoulderAngle"": 89.73415689050478}"
"Lateral Raise","{""leftHipAngle"": 156.98240558282518, ""leftKneeAngle"": 179.48999763440682, ""rightHipAngle"": 165.34320753143533, ""leftElbowAngle"": 158.11306866054176, ""rightKneeAngle"": 177.31976915489025, ""rightElbowAngle"": 158.04195825286055, ""leftShoulderAngle"": 95.13471862816606, ""rightShoulderAngle"": 96.36122888653486}"
"Lateral Raise","{""leftHipAngle"": 158.46355743538783, ""leftKneeAngle"": 179.32803892800752, ""rightHipAngle"": 163.80214258858558, ""leftElbowAngle"": 170.13643567690363, ""rightKneeAngle"": 172.72247783209457, ""rightElbowAngle"": 170.2157127680545, ""leftShoulderAngle"": 85.22739255982547, ""rightShoulderAngle"": 86.07381034168733}"
"Lateral Raise","{""leftHipAngle"": 157.15327413205418, ""leftKneeAngle"": 176.5599447164092, ""rightHipAngle"": 164.37920453230808, ""leftElbowAngle"": 163.40468476830148, ""rightKneeAngle"": 176.5594066556248, ""rightElbowAngle"": 177.1644965432574, ""leftShoulderAngle"": 52.70064735209573, ""rightShoulderAngle"": 65.18410183051469}"
"Lateral Raise","{""leftHipAngle"": 155.15963015054226, ""leftKneeAngle"": 174.9291530742859, ""rightHipAngle"": 157.9699890028564, ""leftElbowAngle"": 140.78520991858235, ""rightKneeAngle"": 170.85532265673788, ""rightElbowAngle"": 148.1197618990909, ""leftShoulderAngle"": 33.11462632717941, ""rightShoulderAngle"": 37.97239682698731}"
"Lateral Raise","{""leftHipAngle"": 156.30175965604133, ""leftKneeAngle"": 179.04581717348188, ""rightHipAngle"": 153.99553431896032, ""leftElbowAngle"": 108.7749264124784, ""rightKneeAngle"": 171.49355282596687, ""rightElbowAngle"": 114.77486342062952, ""leftShoulderAngle"": 22.860090579841824, ""rightShoulderAngle"": 26.57411354924157}"
"Lateral Raise","{""leftHipAngle"": 159.40995725560722, ""leftKneeAngle"": 176.84923092847967, ""rightHipAngle"": 155.9949597622056, ""leftElbowAngle"": 115.82589982733452, ""rightKneeAngle"": 170.9669064162302, ""rightElbowAngle"": 115.00692271791522, ""leftShoulderAngle"": 22.736376886778764, ""rightShoulderAngle"": 26.07699645916151}"
"Lateral Raise","{""leftHipAngle"": 156.56945308128235, ""leftKneeAngle"": 179.35323655096985, ""rightHipAngle"": 156.43001355117187, ""leftElbowAngle"": 109.19026783716248, ""rightKneeAngle"": 172.2909809228175, ""rightElbowAngle"": 105.69220321689323, ""leftShoulderAngle"": 42.468719183095565, ""rightShoulderAngle"": 41.8756682606199}"
"Lateral Raise","{""leftHipAngle"": 154.2931884880594, ""leftKneeAngle"": 178.9846439361712, ""rightHipAngle"": 164.98712146123864, ""leftElbowAngle"": 175.4703343012905, ""rightKneeAngle"": 173.2959570449633, ""rightElbowAngle"": 163.84851298377376, ""leftShoulderAngle"": 74.52861187740868, ""rightShoulderAngle"": 71.6218738014197}"
"Lateral Raise","{""leftHipAngle"": 156.3082919552322, ""leftKneeAngle"": 177.76484278237757, ""rightHipAngle"": 160.70850607447713, ""leftElbowAngle"": 160.8701952804956, ""rightKneeAngle"": 171.0034935633287, ""rightElbowAngle"": 175.21523496538833, ""leftShoulderAngle"": 89.79836933831008, ""rightShoulderAngle"": 93.47433380051606}"
"Lateral Raise","{""leftHipAngle"": 156.4285515997267, ""leftKneeAngle"": 177.62747178233693, ""rightHipAngle"": 165.33712682388858, ""leftElbowAngle"": 165.55244520659684, ""rightKneeAngle"": 178.3185849940336, ""rightElbowAngle"": 168.18100721835583, ""leftShoulderAngle"": 95.03076437471852, ""rightShoulderAngle"": 94.3623268337862}"
"Lateral Raise","{""leftHipAngle"": 158.4305163315765, ""leftKneeAngle"": 179.86218938396922, ""rightHipAngle"": 160.71596320017397, ""leftElbowAngle"": 177.59391795165834, ""rightKneeAngle"": 171.01721500530385, ""rightElbowAngle"": 179.19472228793376, ""leftShoulderAngle"": 82.6287380997933, ""rightShoulderAngle"": 82.08230881912232}"
"Lateral Raise","{""leftHipAngle"": 156.83480872830089, ""leftKneeAngle"": 175.23401396570247, ""rightHipAngle"": 161.02306211236453, ""leftElbowAngle"": 162.38926574599589, ""rightKneeAngle"": 171.11157199955196, ""rightElbowAngle"": 129.06368509571865, ""leftShoulderAngle"": 44.045712115882566, ""rightShoulderAngle"": 49.76183177673728}"
"Lateral Raise","{""leftHipAngle"": 157.55132271203095, ""leftKneeAngle"": 178.3661942147833, ""rightHipAngle"": 155.0107829126021, ""leftElbowAngle"": 130.7503150846167, ""rightKneeAngle"": 166.58901637898012, ""rightElbowAngle"": 115.85143456348986, ""leftShoulderAngle"": 24.85740671203312, ""rightShoulderAngle"": 27.07563484650765}"
"Lateral Raise","{""leftHipAngle"": 156.55554735438415, ""leftKneeAngle"": 179.21674263818997, ""rightHipAngle"": 157.02571400806178, ""leftElbowAngle"": 117.42739140733826, ""rightKneeAngle"": 167.62343992833647, ""rightElbowAngle"": 109.10179885623953, ""leftShoulderAngle"": 22.74963770656026, ""rightShoulderAngle"": 26.151836863717534}"
"Lateral Raise","{""leftHipAngle"": 156.54416561307548, ""leftKneeAngle"": 176.10758517081118, ""rightHipAngle"": 154.99819253689128, ""leftElbowAngle"": 111.18667928318249, ""rightKneeAngle"": 165.45915191980956, ""rightElbowAngle"": 116.1669361909902, ""leftShoulderAngle"": 32.87875783917965, ""rightShoulderAngle"": 30.275679185409608}"
"Lateral Raise","{""leftHipAngle"": 155.66416814277807, ""leftKneeAngle"": 175.2820873686304, ""rightHipAngle"": 162.35667637447392, ""leftElbowAngle"": 176.14366069811078, ""rightKneeAngle"": 171.0778373029954, ""rightElbowAngle"": 165.48240155658374, ""leftShoulderAngle"": 65.63701610881817, ""rightShoulderAngle"": 65.55021792704414}"
"Lateral Raise","{""leftHipAngle"": 157.32335725075117, ""leftKneeAngle"": 177.26080853929412, ""rightHipAngle"": 159.467831841672, ""leftElbowAngle"": 166.55842800481267, ""rightKneeAngle"": 169.66590591174847, ""rightElbowAngle"": 175.03627218159176, ""leftShoulderAngle"": 82.3011255049415, ""rightShoulderAngle"": 84.33775372037789}"
"Lateral Raise","{""leftHipAngle"": 156.51922344430665, ""leftKneeAngle"": 176.51915169890634, ""rightHipAngle"": 164.06446166629908, ""leftElbowAngle"": 155.22897224948716, ""rightKneeAngle"": 179.52213030017924, ""rightElbowAngle"": 167.58139300815282, ""leftShoulderAngle"": 92.7068643539863, ""rightShoulderAngle"": 91.99022309879872}"
"Lateral Raise","{""leftHipAngle"": 156.6192074223419, ""leftKneeAngle"": 176.4242822924996, ""rightHipAngle"": 161.58395453297192, ""leftElbowAngle"": 159.4490683340425, ""rightKneeAngle"": 172.794583938277, ""rightElbowAngle"": 165.99310052661048, ""leftShoulderAngle"": 88.35380478869007, ""rightShoulderAngle"": 92.20687678752935}"
"Lateral Raise","{""leftHipAngle"": 158.33597715529248, ""leftKneeAngle"": 179.45461875002374, ""rightHipAngle"": 163.43143187152535, ""leftElbowAngle"": 157.68869961417326, ""rightKneeAngle"": 170.5009810446257, ""rightElbowAngle"": 173.49965595526731, ""leftShoulderAngle"": 56.41290182565712, ""rightShoulderAngle"": 69.02017273443137}"
"Lateral Raise","{""leftHipAngle"": 155.65644549064564, ""leftKneeAngle"": 174.8335863762205, ""rightHipAngle"": 159.12444996928014, ""leftElbowAngle"": 145.57705935698888, ""rightKneeAngle"": 169.49941332416182, ""rightElbowAngle"": 160.31206486124228, ""leftShoulderAngle"": 34.13794378954172, ""rightShoulderAngle"": 33.17997350621644}"
"Lateral Raise","{""leftHipAngle"": 155.96108169966584, ""leftKneeAngle"": 177.73098555800655, ""rightHipAngle"": 153.53114243917162, ""leftElbowAngle"": 141.86561863309504, ""rightKneeAngle"": 166.0379556755035, ""rightElbowAngle"": 136.01413544705787, ""leftShoulderAngle"": 17.62303673258943, ""rightShoulderAngle"": 21.567154554254184}"
"Lateral Raise","{""leftHipAngle"": 155.028890431579, ""leftKneeAngle"": 178.51750609608786, ""rightHipAngle"": 158.15734655762367, ""leftElbowAngle"": 128.60516574451174, ""rightKneeAngle"": 172.59269991618572, ""rightElbowAngle"": 127.59505002287918, ""leftShoulderAngle"": 12.104799249899074, ""rightShoulderAngle"": 16.917691603741893}"
"Lateral Raise","{""leftHipAngle"": 154.85089921000613, ""leftKneeAngle"": 177.08240581782613, ""rightHipAngle"": 154.50805332180994, ""leftElbowAngle"": 134.47635967208734, ""rightKneeAngle"": 165.56304618273182, ""rightElbowAngle"": 129.56058412112571, ""leftShoulderAngle"": 21.752272920913928, ""rightShoulderAngle"": 23.05766845096045}"
"Lateral Raise","{""leftHipAngle"": 156.51317596848835, ""leftKneeAngle"": 176.98718894203296, ""rightHipAngle"": 163.18030416365744, ""leftElbowAngle"": 167.23742771877798, ""rightKneeAngle"": 171.2568801621464, ""rightElbowAngle"": 174.9187203428662, ""leftShoulderAngle"": 52.53005934386511, ""rightShoulderAngle"": 48.75494693912249}"
"Lateral Raise","{""leftHipAngle"": 156.2005263244089, ""leftKneeAngle"": 179.79672987794888, ""rightHipAngle"": 159.87515073800864, ""leftElbowAngle"": 164.36803642426085, ""rightKneeAngle"": 172.36774334963772, ""rightElbowAngle"": 171.77301642616712, ""leftShoulderAngle"": 80.94914387765523, ""rightShoulderAngle"": 80.72839244657574}"
"Lateral Raise","{""leftHipAngle"": 155.99627755766468, ""leftKneeAngle"": 178.5312297687084, ""rightHipAngle"": 164.09335182400054, ""leftElbowAngle"": 159.53584196844113, ""rightKneeAngle"": 172.64851880641135, ""rightElbowAngle"": 168.34752550426276, ""leftShoulderAngle"": 94.1799743257651, ""rightShoulderAngle"": 94.0640930783258}"
"Lateral Raise","{""leftHipAngle"": 156.2376188265397, ""leftKneeAngle"": 179.27426738852256, ""rightHipAngle"": 164.69586752929027, ""leftElbowAngle"": 158.827664990645, ""rightKneeAngle"": 174.69760546971796, ""rightElbowAngle"": 170.71071729633402, ""leftShoulderAngle"": 94.41807644367076, ""rightShoulderAngle"": 95.9353889401339}"
"Lateral Raise","{""leftHipAngle"": 158.37430849534397, ""leftKneeAngle"": 179.60389675087723, ""rightHipAngle"": 160.30438961764406, ""leftElbowAngle"": 169.08185821646066, ""rightKneeAngle"": 172.5292397320698, ""rightElbowAngle"": 176.1798836605854, ""leftShoulderAngle"": 80.20217710237664, ""rightShoulderAngle"": 84.3308171928608}"
"Lateral Raise","{""leftHipAngle"": 154.8725245679022, ""leftKneeAngle"": 172.40842159768408, ""rightHipAngle"": 162.25499370345793, ""leftElbowAngle"": 153.2306985273412, ""rightKneeAngle"": 172.90888730993, ""rightElbowAngle"": 139.76028149982074, ""leftShoulderAngle"": 41.077440143006, ""rightShoulderAngle"": 50.67858043358175}"
"Lateral Raise","{""leftHipAngle"": 155.0918756260432, ""leftKneeAngle"": 177.92305382519646, ""rightHipAngle"": 155.78585376982036, ""leftElbowAngle"": 144.8169158632625, ""rightKneeAngle"": 168.16962286145804, ""rightElbowAngle"": 128.96590210053907, ""leftShoulderAngle"": 25.286513621422696, ""rightShoulderAngle"": 28.77891440282034}"
"Lateral Raise","{""leftHipAngle"": 157.48063147270082, ""leftKneeAngle"": 179.7630829289775, ""rightHipAngle"": 157.3077644984906, ""leftElbowAngle"": 124.45111554327326, ""rightKneeAngle"": 169.489221321593, ""rightElbowAngle"": 113.07832002520118, ""leftShoulderAngle"": 19.28933424304212, ""rightShoulderAngle"": 23.190202655795115}"
"Lateral Raise","{""leftHipAngle"": 157.0432417107613, ""leftKneeAngle"": 179.7998305449059, ""rightHipAngle"": 155.79093984217718, ""leftElbowAngle"": 121.6792010712452, ""rightKneeAngle"": 164.7208116105817, ""rightElbowAngle"": 106.11272336226872, ""leftShoulderAngle"": 20.95670279171391, ""rightShoulderAngle"": 25.91787707290824}"
"Lateral Raise","{""leftHipAngle"": 155.16589673380503, ""leftKneeAngle"": 175.36982402251172, ""rightHipAngle"": 162.35625701877504, ""leftElbowAngle"": 159.682134809451, ""rightKneeAngle"": 172.0705840534593, ""rightElbowAngle"": 135.27922473532186, ""leftShoulderAngle"": 52.87108421721724, ""rightShoulderAngle"": 50.945001638887625}"
"Lateral Raise","{""leftHipAngle"": 155.47633067667633, ""leftKneeAngle"": 177.7495918672788, ""rightHipAngle"": 162.0238753857518, ""leftElbowAngle"": 165.56935908554416, ""rightKneeAngle"": 174.2834702967925, ""rightElbowAngle"": 170.70076445117354, ""leftShoulderAngle"": 81.0213032691656, ""rightShoulderAngle"": 78.861507819017}"
